rank,last_rank,trend,name,city,rating,rating_5yr
182,62,stable,Roy H Crosby,Markham,8.6,8.7
231,218,stable,Herber t H Carnegie,Maple,8.4,8.0
182,72,stable,St Matthew's,Oakville,8.6,8.6
231,285,stable,Roch Carrier,Kanata,8.4,7.8
182,78,stable,Holy Rosar y,Toronto,8.6,8.6
231,293,stable,St Bernadette,Dundas,8.4,7.8
182,79,stable,St Benedict,Unionville,8.6,8.5
231,296,stable,Kateri Tekakwitha,Markham,8.4,7.8
182,86,stable,Chine Drive,Scarborough,8.6,8.5
231,324,stable,Colonel J E Farewell,Whitby,8.4,7.7
182,91,stable,Bond Lake Richmond,Hill,8.6,8.5
231,355,stable,Our Lady of Sorrows,Petawawa,8.4,7.7
182,156,stable,Immaculate Conception,Formosa,8.6,8.2
231,390,declining,Sacred Hear t of Jesus,Burlington,8.4,7.6
182,162,declining,Alton Village,Burlington,8.6,8.2
231,547,stable,des Voyageurs,Orléans,8.4,7.3
182,172,stable,Father Serra,Toronto,8.6,8.1
231,604,stable,St Elizabeth Seton,Burlington,8.4,7.2
182,231,stable,Holy Cross,LaSalle,8.6,8.0
231,647,stable,Nor wood Park,Hamilton,8.4,7.1
182,285,stable,Bogart,Newmarket,8.6,7.8
231,844,declining,Grandview New,Hamburg,8.4,6.9
182,324,declining,St Timothy,Burlington,8.6,7.7
231,879,declining,Gorham and Ware,Gorham,8.4,6.8
182,361,stable,Our Lady of Lourdes,Brampton,8.6,7.7
231,1167,stable,Five Mile Thunder,Bay,8.4,6.4
182,532,stable,Saint-Jean-Baptiste,L'Orignal,8.6,7.3
231,1499,stable,South Branch,Kemptville,8.4,6.0
182,604,declining,John Brant,Ridgeway,8.6,7.2
231,n/a,n/a,Agincourt Road,Ottawa,8.4,n/a
182,n/a,n/a,West Oaks FI,London,8.6,n/a
231,n/a,n/a,Lasalle,Sudbury,8.4,n/a
199,38,stable,John Ross Rober tson,Toronto,8.5,8.9
231,n/a,n/a,South Shore Education,Nipissing,8.4,n/a
199,51,stable,Laurelwood,Waterloo,8.5,8.8
231,n/a,n/a,St Mar y Catholic,Nobleton,8.4,n/a
199,59,stable,San Lorenzo Ruiz,Markham,8.5,8.7
260,64,stable,St Clement,Etobicoke,8.3,8.7
199,86,stable,John T Tuck,Burlington,8.5,8.5
260,103,stable,Forest Hill,Toronto,8.3,8.4
199,94,stable,Hopewell Avenue,Ottawa,8.5,8.5
260,120,stable,St. Cecilia,Nepean,8.3,8.3
199,100,stable,La Source,Orléans,8.5,8.4
260,170,stable,St Michael,Thornhill,8.3,8.1
199,105,stable,St Anne,Kanata,8.5,8.4
260,180,declining,Doncrest Richmond,Hill,8.3,8.1
199,109,stable,W H Morden,Oakville,8.5,8.4
260,180,stable,St Andrew,Woodbridge,8.3,8.1
199,120,stable,St Paul Thunder,Bay,8.5,8.3
260,191,stable,St Pius X,Toronto,8.3,8.1
260,241,stable,Dr Rober ta Bondar,Maple,8.3,7.9
313,254,stable,Aurora,Aurora,8.1,7.9
260,267,declining,St Barbara,Mississauga,8.3,7.9
313,273,stable,Norseman,Etobicoke,8.1,7.9
260,285,stable,Stevensville,Stevensville,8.3,7.8
313,277,declining,Lambeth,London,8.1,7.8
260,304,stable,Mar y Johnston,Waterloo,8.3,7.8
313,277,stable,Thornhill,Thornhill,8.1,7.8
260,315,stable,Our Lady of Merc y,Mississauga,8.3,7.8
313,302,stable,Niagara Street,Toronto,8.1,7.8
260,315,stable,Plum Tree Park,Mississauga,8.3,7.8
313,302,stable,St John Bosco Barr y's,Bay,8.1,7.8
260,369,declining,St Matthew,Waterloo,8.3,7.7
313,304,stable,Por t Royal,Scarborough,8.1,7.8
260,478,declining,Aberfoyle,Puslinch,8.3,7.4
313,312,stable,St Cecilia,Toronto,8.1,7.8
260,478,stable,The Holy Trinity,Toronto,8.3,7.4
313,345,stable,Our Lady of the Assumption,Hannon,8.1,7.7
260,488,stable,Divine Merc y,Maple,8.3,7.4
313,361,declining,St John,Toronto,8.1,7.7
260,507,declining,Sainte-Jeanne-d'Arc,Brampton,8.3,7.4
313,424,stable,Our Lady of Lourdes,Pembroke,8.1,7.6
260,507,stable,St Isaac Jogues,Toronto,8.3,7.4
313,436,stable,La Mosaïque East,York,8.1,7.5
260,514,stable,St. Mar y,Oakville,8.3,7.4
313,495,stable,Seneca Trail,Oshawa,8.1,7.4
260,532,stable,St Stephen,Stittsville,8.3,7.3
313,525,declining,Sacred Hear t,LaSalle,8.1,7.3
260,647,stable,Hawthorne II Bilingual,Toronto,8.3,7.1
313,561,stable,Fitch Street,Welland,8.1,7.3
260,957,declining,Fenelon,Cameron,8.3,6.7
313,571,stable,St Mar y,Elora,8.1,7.2
260,1572,stable,Our Lady of Merc y,Bancroft,8.3,5.9
313,604,stable,Edith Cavell St.,Catharines,8.1,7.2
260,n/a,n/a,Aberarder Central,Camlachie,8.3,n/a
313,628,stable,Glendale,Welland,8.1,7.2
260,n/a,n/a,Catholique Curé-Labrosse,St.-Eugène,8.3,n/a
313,670,declining,St Mar y Niagara,Falls,8.1,7.1
260,n/a,n/a,St Louis,Mississauga,8.3,n/a
